Voltage (V),Current (A)
-0.5,-5.002062079947101e-07
-0.49,-4.901791716423121e-07
-0.48,-4.801907217828679e-07
-0.47,-4.699731188823413e-07
-0.46,-4.601662139949406e-07
-0.45,-4.500173366765199e-07
-0.44,-4.4022672280336187e-07
-0.43,-4.299951039344395e-07
-0.42,-4.1992798149202435e-07
-0.41000000000000003,-4.1014888805921824e-07
-0.4,-4.000796170061119e-07
-0.39,-3.901750273502134e-07
-0.38,-3.8016603463814314e-07
-0.37,-3.7015125116725216e-07
-0.36,-3.60209241013805e-07
-0.35,-3.500322446847754e-07
-0.33999999999999997,-3.400920663272022e-07
-0.32999999999999996,-3.3008239884515536e-07
-0.32,-3.19936399952115e-07
-0.31,-3.101759235651155e-07
-0.3,-3.000127948584288e-07
-0.29000000000000004,-2.9021146719261845e-07
-0.28,-2.801480976728375e-07
-0.27,-2.7009821904599925e-07
-0.26,-2.6011581988027243e-07
-0.25,-2.5000371314592817e-07
-0.24,-2.400204542941741e-07
-0.22999999999999998,-2.301983264981727e-07
-0.21999999999999997,-2.2009314756871e-07
-0.21000000000000002,-2.1005370006934683e-07
-0.2,-2.000210750176053e-07
-0.19,-1.8993196389271082e-07
-0.18,-1.801618778832996e-07
-0.16999999999999998,-1.700488279700778e-07
-0.15999999999999998,-1.601778967923819e-07
-0.14999999999999997,-1.501139218850111e-07
-0.14,-1.4013624573219912e-07
-0.13,-1.3016976316323976e-07
-0.12,-1.2015955324797353e-07
-0.10999999999999999,-1.1005525987225226e-07
-0.09999999999999998,-1.0007890036230679e-07
-0.08999999999999997,-8.990990630866121e-08
-0.08000000000000002,-8.014632605207508e-08
-0.07,-7.019230061006555e-08
-0.06,-6.001058848727874e-08
-0.04999999999999999,-4.996562878597059e-08
-0.03999999999999998,-3.9883013468447046e-08
-0.02999999999999997,-3.0191382257038975e-08
-0.020000000000000018,-2.0087213983299374e-08
-0.010000000000000009,-1.0083987576623443e-08
0.0,-6.351989704958898e-11
0.010000000000000009,1.0226316471891951e-08
0.020000000000000018,2.0048631077386993e-08
0.030000000000000027,3.010001763112506e-08
0.040000000000000036,4.0379606911722986e-08
0.050000000000000044,5.0459238591576875e-08
0.06000000000000005,6.05823728798136e-08
0.07000000000000006,7.089200007951242e-08
0.07999999999999996,8.11432997910012e-08
0.08999999999999997,9.175243427102593e-08
0.09999999999999998,1.0257089742986293e-07
0.10999999999999999,1.1343483271126261e-07
0.12,1.2471085877923476e-07
0.13,1.366671446388018e-07
0.14,1.4932876491693272e-07
0.15000000000000002,1.6301008372090989e-07
0.16000000000000003,1.7774488578456375e-07
0.17000000000000004,1.9481344279437564e-07
0.18000000000000005,2.1402698279965691e-07
0.19000000000000006,2.3739721441809065e-07
0.20000000000000007,2.657013474318978e-07
0.20999999999999996,3.006623302852668e-07
0.21999999999999997,3.4546751510048095e-07
0.22999999999999998,4.0359289419155713e-07
0.24,4.801749049416557e-07
0.25,5.823354381186001e-07
0.26,7.19241336793299e-07
0.27,9.058102198302059e-07
0.28,1.1591941019315187e-06
0.29000000000000004,1.5061138349054959e-06
0.30000000000000004,1.9820760720687847e-06
0.31000000000000005,2.6366165847810367e-06
0.32000000000000006,3.5381001957336013e-06
0.33000000000000007,4.78076456570983e-06
0.33999999999999997,6.496122724223472e-06
0.35,8.864325103304802e-06
0.36,1.2136385761991582e-05
0.37,1.6657661383607037e-05
0.38,2.290729320823566e-05
0.39,3.154656766054021e-05
0.4,4.34900864264461e-05
0.41000000000000003,6.000248876526067e-05
0.42000000000000004,8.283203620209726e-05
0.43000000000000005,0.00011439300200401405
0.44000000000000006,0.00015802089402325615
0.45000000000000007,0.00021831952092337287
0.45999999999999996,0.00030163885185489664
0.47,0.0004167280837290483
0.48,0.000575625490181134
0.49,0.0007948595728840225
0.5,0.0010970633719138648
0.51,0.0015131098953746498
0.52,0.0020848942378672284
0.53,0.0028688631443934257
0.54,0.003940333625112076
0.55,0.00539848901929996
0.56,0.007371647887616534
0.5700000000000001,0.010021949704636506
0.5800000000000001,0.013547989920774045
0.5900000000000001,0.018183349575854494
0.6000000000000001,0.024188794239786517
0.6100000000000001,0.03183670899163411
0.6200000000000001,0.04138845323818093
0.6300000000000001,0.05306831038032646
0.6400000000000001,0.06704010257512882
0.6500000000000001,0.08339213645778834
0.6599999999999999,0.10210573038552688
0.6699999999999999,0.12174411302115679
0.6799999999999999,0.11100055513108419
0.69,0.03453948024851512
0.7,0.008445444252114428
0.71,0.0016045126843279326
0.72,0.00017373053211919948
0.73,7.902983672058428e-06
0.74,2.977545271638968e-07
0.75,1.614298709229191e-08
0.76,-2.552628124377121e-07
0.77,-6.345270680272125e-07
0.78,-1.162276382153805e-06
0.79,-1.8966590303900134e-06
0.8,-2.9157204019991267e-06
0.81,-4.329438471680853e-06
0.8200000000000001,-6.288622446317207e-06
0.8300000000000001,-9.002068603220118e-06
0.8400000000000001,-1.2759451397035218e-05
0.8500000000000001,-1.796036251646544e-05
0.8600000000000001,-2.5158011609640765e-05
0.8700000000000001,-3.511876551797093e-05
0.8800000000000001,-4.890142155797317e-05
0.8900000000000001,-6.797273122963825e-05
0.9000000000000001,-9.436199752274808e-05
0.9099999999999999,-0.00013088103602257716
0.9199999999999999,-0.00018142357089084138
0.9299999999999999,-0.00025138913200587615
0.94,-0.00034826898769347843
0.95,-0.00048247139287698506
0.96,-0.000668481090143615
0.97,-0.0009265041836945937
0.98,-0.0012848208029209334
0.99,-0.001783196455734621
1.0,-0.0024779051802998626
